impl,grid_size,num_thread,seconds
seq,512,1,0.253203
seq,512,2,0.253203
seq,512,4,0.253203
seq,512,8,0.253203
seq,512,16,0.253203
seq,512,32,0.253203
seq,512,1,0.25373
seq,512,2,0.25373
seq,512,4,0.25373
seq,512,8,0.25373
seq,512,16,0.25373
seq,512,32,0.25373
seq,512,1,0.254156
seq,512,2,0.254156
seq,512,4,0.254156
seq,512,8,0.254156
seq,512,16,0.254156
seq,512,32,0.254156
seq,512,1,0.254052
seq,512,2,0.254052
seq,512,4,0.254052
seq,512,8,0.254052
seq,512,16,0.254052
seq,512,32,0.254052
seq,512,1,0.255511
seq,512,2,0.255511
seq,512,4,0.255511
seq,512,8,0.255511
seq,512,16,0.255511
seq,512,32,0.255511
seq,512,1,0.254135
seq,512,2,0.254135
seq,512,4,0.254135
seq,512,8,0.254135
seq,512,16,0.254135
seq,512,32,0.254135
seq,512,1,0.248174
seq,512,2,0.248174
seq,512,4,0.248174
seq,512,8,0.248174
seq,512,16,0.248174
seq,512,32,0.248174
seq,512,1,0.254425
seq,512,2,0.254425
seq,512,4,0.254425
seq,512,8,0.254425
seq,512,16,0.254425
seq,512,32,0.254425
seq,512,1,0.253287
seq,512,2,0.253287
seq,512,4,0.253287
seq,512,8,0.253287
seq,512,16,0.253287
seq,512,32,0.253287
seq,512,1,0.25357
seq,512,2,0.25357
seq,512,4,0.25357
seq,512,8,0.25357
seq,512,16,0.25357
seq,512,32,0.25357
seq,512,1,0.255409
seq,512,2,0.255409
seq,512,4,0.255409
seq,512,8,0.255409
seq,512,16,0.255409
seq,512,32,0.255409
seq,512,1,0.252843
seq,512,2,0.252843
seq,512,4,0.252843
seq,512,8,0.252843
seq,512,16,0.252843
seq,512,32,0.252843
seq,512,1,0.254298
seq,512,2,0.254298
seq,512,4,0.254298
seq,512,8,0.254298
seq,512,16,0.254298
seq,512,32,0.254298
seq,512,1,0.253134
seq,512,2,0.253134
seq,512,4,0.253134
seq,512,8,0.253134
seq,512,16,0.253134
seq,512,32,0.253134
seq,512,1,0.25997
seq,512,2,0.25997
