number_if,array_size,num_thread,seconds
0,1048576,2,0.2711
0,1048576,2,0.2733
0,1048576,2,0.2722
0,1048576,2,0.2764
0,1048576,2,0.2691
0,1048576,2,0.2691
0,1048576,2,0.28
0,1048576,2,0.2721
0,1048576,2,0.2716
0,1048576,2,0.2681
0,1048576,2,0.2757
0,1048576,2,0.2738
0,1048576,2,0.2703
0,1048576,2,0.2758
0,1048576,2,0.271
0,1048576,2,0.275
0,1048576,2,0.2749
0,1048576,2,0.2672
0,1048576,2,0.2795
0,1048576,2,0.2785
0,1048576,2,0.275
0,1048576,2,0.2705
0,1048576,2,0.2788
0,1048576,4,0.1497
0,1048576,4,0.2082
0,1048576,4,0.172
0,1048576,4,0.1511
0,1048576,4,0.149
0,1048576,4,0.1491
0,1048576,4,0.1515
0,1048576,4,0.1548
0,1048576,4,0.1672
0,1048576,4,0.1485
0,1048576,4,0.1498
0,1048576,4,0.1501
0,1048576,4,0.1474
0,1048576,4,0.1508
0,1048576,4,0.1469
0,1048576,4,0.1581
0,1048576,4,0.1493
0,1048576,4,0.1563
0,1048576,4,0.1488
0,1048576,4,0.1493
0,1048576,4,0.1512
0,1048576,4,0.15
0,1048576,4,0.1475
0,1048576,4,0.1497
0,1048576,4,0.1964
0,1048576,4,0.1485
0,1048576,4,0.1486
0,1048576,4,0.1472
0,1048576,4,0.1523
0,1048576,4,0.1499
0,1048576,8,0.1594
0,1048576,8,0.1516
0,1048576,8,0.1486
0,1048576,8,0.1492
0,1048576,8,0.148
0,1048576,8,0.157
0,1048576,8,0.1553
0,1048576,8,0.187
0,1048576,8,0.1542
0,1048576,8,0.1501
0,1048576,8,0.1507
0,1048576,8,0.1484
0,1048576,8,0.1478
0,1048576,8,0.1553
0,1048576,8,0.1501
0,1048576,8,0.1528
0,1048576,8,0.1513
0,1048576,8,0.1524
0,1048576,8,0.1536
0,1048576,8,0.1509
0,1048576,8,0.1474
0,1048576,8,0.151
0,1048576,8,0.1525
0,1048576,8,0.1561
0,1048576,8,0.1487
0,1048576,8,0.1508
0,1048576,8,0.1517
0,1048576,8,0.1513
0,1048576,8,0.1531
0,1048576,8,0.1501
0,1048576,16,0.1539
0,1048576,16,0.1528
0,1048576,16,0.1487
0,1048576,16,0.1502
0,1048576,16,0.1502
0,1048576,16,0.1495
0,1048576,16,0.1494
0,1048576,16,0.1664
0,1048576,16,0.1502
0,1048576,16,0.1522
0,1048576,16,0.1486
0,1048576,16,0.1501
0,1048576,16,0.1513
0,1048576,16,0.1499
0,1048576,16,0.1524
0,1048576,16,0.1491
0,1048576,16,0.1509
0,1048576,16,0.1517
0,1048576,16,0.1524
0,1048576,16,0.1719
0,1048576,16,0.1519
0,1048576,16,0.15
0,1048576,16,0.1528
0,1048576,16,0.1516
0,1048576,16,0.1503
0,1048576,16,0.1476
0,1048576,16,0.1508
0,1048576,16,0.1495
0,1048576,16,0.1498
0,1048576,16,0.16
0,1048576,32,0.1501
0,1048576,32,0.1475
0,1048576,32,0.1499
0,1048576,32,0.1482
0,1048576,32,0.15
0,1048576,32,0.1496
0,1048576,32,0.1545
0,1048576,32,0.1782
0,1048576,32,0.149
